Date,Team_1,Team_2,Venue,MatchCode,GroundCode
2015-03-04,AFG,AUS,Away,3773,065
2012-08-25,AFG,AUS,Neutral,3437,156
2019-06-01,AFG,AUS,Neutral,4306,149
2014-03-01,AFG,BAN,Away,3623,190
2016-09-25,AFG,BAN,Away,3936,198
2016-09-28,AFG,BAN,Away,3938,198
2016-10-01,AFG,BAN,Away,3941,198
2015-02-18,AFG,BAN,Neutral,3754,132
2018-09-20,AFG,BAN,Neutral,4198,192
2018-09-23,AFG,BAN,Neutral,4202,192
2019-06-24,AFG,BAN,Neutral,4335,184
2019-06-18,AFG,ENG,Away,4326,047
2015-03-13,AFG,ENG,Neutral,3785,058
2014-03-05,AFG,IND,Neutral,3628,198
2018-09-25,AFG,IND,Neutral,4203,209
2019-06-22,AFG,IND,Neutral,4332,184
2012-07-05,AFG,IRE,Away,3421,109
2016-07-12,AFG,IRE,Away,3915,194
2016-07-14,AFG,IRE,Away,3916,194
2016-07-17,AFG,IRE,Away,3917,194
2016-07-19,AFG,IRE,Away,3918,194
2018-08-27,AFG,IRE,Away,4189,194
2018-08-29,AFG,IRE,Away,4190,194
2018-08-31,AFG,IRE,Away,4192,194
2019-05-19,AFG,IRE,Away,4299,194
2019-05-21,AFG,IRE,Away,4301,194
2010-07-03,AFG,IRE,Neutral,3138,204
2015-01-10,AFG,IRE,Neutral,3722,209
2015-01-17,AFG,IRE,Neutral,3730,209
2017-03-15,AFG,IRE,Neutral,4006,238
2017-03-17,AFG,IRE,Neutral,4007,238
2017-03-19,AFG,IRE,Neutral,4008,238
2017-03-22,AFG,IRE,Neutral,4009,238
2017-03-24,AFG,IRE,Neutral,4010,238
2017-12-05,AFG,IRE,Neutral,4092,156
2017-12-07,AFG,IRE,Neutral,4093,156
2017-12-10,AFG,IRE,Neutral,4097,156
2018-03-23,AFG,IRE,Neutral,4163,026
2019-02-28,AFG,IRE,Neutral,4257,248
2019-03-02,AFG,IRE,Neutral,4259,248
2019-03-05,AFG,IRE,Neutral,4262,248
2019-03-08,AFG,IRE,Neutral,4265,248
2019-03-10,AFG,IRE,Neutral,4267,248
2010-10-07,AFG,KEN,Away,3183,170
2010-10-09,AFG,KEN,Away,3185,170
2010-10-11,AFG,KEN,Away,3187,170
2010-07-05,AFG,KEN,Neutral,3142,164
2013-10-02,AFG,KEN,Neutral,3560,156
2013-10-04,AFG,KEN,Neutral,3561,156
2009-08-30,AFG,NED,Away,3007,164
2009-09-01,AFG,NED,Away,3008,164
2010-07-07,AFG,NED,Away,3147,213
2010-07-10,AFG,NED,Away,3153,204
2012-03-29,AFG,NED,Neutral,3406,156
2012-03-31,AFG,NED,Neutral,3407,156
2015-03-08,AFG,NZL,Away,3778,041
2019-06-08,AFG,NZL,Neutral,4315,113
2012-02-10,AFG,PAK,Neutral,3372,156
2014-02-27,AFG,PAK,Neutral,3620,190
2018-09-21,AFG,PAK,Neutral,4200,192
2019-06-29,AFG,PAK,Neutral,4340,027
2010-08-16,AFG,SCO,Away,3164,195
2010-08-17,AFG,SCO,Away,3166,195
2016-07-04,AFG,SCO,Away,3912,153
2016-07-06,AFG,SCO,Away,3913,153
2019-05-10,AFG,SCO,Away,4290,153
2009-04-19,AFG,SCO,Neutral,2964,166
2010-07-09,AFG,SCO,Neutral,3149,204
2013-03-06,AFG,SCO,Neutral,3482,156
2013-03-08,AFG,SCO,Neutral,3483,156
2015-01-08,AFG,SCO,Neutral,3721,220
2015-01-14,AFG,SCO,Neutral,3725,192
2015-02-26,AFG,SCO,Neutral,3764,205
2018-03-04,AFG,SCO,Neutral,4140,009
2019-06-15,AFG,SAF,Neutral,4323,158
2014-03-03,AFG,SRL,Neutral,3626,198
2015-02-22,AFG,SRL,Neutral,3759,205
2018-09-17,AFG,SRL,Neutral,4195,192
2019-06-04,AFG,SRL,Neutral,4309,158
